source	target	label
谁能打破科比81分纪录？奥尼尔给出5个候选人，补充利拉德比尔！	NBA现役能入名人堂的球星很多，但是能被立铜像只有2人	0
请扩散！明天，黄金埠这些地方会停电！	生活｜这几个地方注意啦！1月12日有部分线路停电检修	0
居家健身增强免疫！（三）	原来是背影杀手#你愿意和我做朋友吗#户外健身	0
太极拳罗师傅被洋人打伤，叶问霸气复仇？	  非常完美：感动！女嘉宾告白赵杰被拒绝，尹康霸气上台挽留！	0
恭喜哈登！篮网因祸得福，29+7超巨大概率复出，3换4交易方案出炉	三英缺席杜兰特，篮网迎战湖人NBA重头大戏！	1
西甲马德里竞技vs莱万特2021/02/2023：15马德里竞技马竞本赛季在西甲赛场上作战势头迅猛，甚至盖过了巴萨、皇马的势头，当前联赛战罢了22轮，球队以17胜4平1负的战绩领跑西甲赛场，且将第二名的皇马甩开了6分的差距，可见战斗力所在。	周二010欧洲冠军联赛马德里竞技VS切尔西比赛时间：2021-02-2404:00赛事提点：马德里竞技近4战只1胜，状态下滑明显，后防不再稳固。此番迎战强敌面临考验；切尔西换帅后战绩明显提升，各项赛事近6战5胜1平。蓝军状态回升不惧做客。	1
近2万只候鸟泸沽湖越冬	南昌版呼伦贝尔火了！有关部门回应：此为禁养区	0
1月31日10点，独行侠跟西部强队太阳交手。开局后，克劳德连续命中3分，帮助太阳确立优势。哈达威命中2分，布里奇斯三分打进。理查德森撤步中投命中，艾顿上篮被盖帽。哈达威追身三分命中，摩尔低手上篮命中。东契奇三分不进，布伦森中投不进。艾顿制造犯规，2罚命中。哈达威三分续上火力，艾顿补扣得分。第一节结束	1月28日，NBA常规赛，太阳大战雷霆，两队实力差距悬殊，太阳目前完成蜕变，在西部前8行列。第一节，保罗命中2分，贝兹利三分不进，保罗助攻克劳德三分命中，5-0开局！此后，雷霆开始追分，迪亚洛上篮不进，杰旺·卡特三分命中，21-10领先了！肯里奇·威廉姆斯命中2分，杰旺卡特助攻布里奇斯，暴扣得分。亚	0
 2月16日，倪妮一段舞动烟花棒的动图曝光，虽然画面十分美好，但却有细心的网友发现，她贴反了眉毛贴。不过大美女就是大美女，贴反了还这么好看。有网友评论道：“美女都这样吗？” 责任编辑：朱佳琪(EN042)	  憨豆特工：憨豆奉命保护总统，不料被美女吸引，结果总统出事了	0
《你好，李焕英》居影史第6，票房38.55亿，学影视制作大有前途	2.67亿！观影成为“新年俗”，重庆市2月电影票房有望创造历史新高	0
  基础控球技术能力的提升性训练，动作简单，有效提升球员脚下技术	  反应力与身体爆发力训练唯有足球不可辜负	0
就是这么自信！詹姆斯第三节末尾命中跳投三分后双手举天庆祝！	  詹姆斯已和乔丹平起平座，明年再夺冠肯定超飞人，成NBA历史第一	0
多哈挑战赛女单四强出炉，日乒3人晋级，伊藤美诚一只脚进了决赛	4-2，伊藤力夺开年第一金！国乒劲敌再度确认，早田希娜进步迅速	0
 四轮比赛→百余位美巡赛高手→诞生10个惊艳击球。#2021美国运通赛#十佳球。	 …END… 	0
  郭德纲于谦爆笑相声，全程妙语连珠精彩不停，现场观众笑疯了	  郭德纲台上摔了一跤，于谦慌忙搀扶，观众乐得合不拢嘴！	0
四川成都中高风险地区人员到成都，需进行14天集中隔离和进行2次核酸检测，来自北京朝阳、顺义区等存在疫情的低风险地区，需要提供7天核酸检测阴性报告，若其他低风险地区人员只需持有健康码绿码和向社区报备。	2021年01月14日忻州新闻——静乐县康家会镇特优产品展销会在忻州古城举行 	0
  街头足球：尼泊尔12岁天才少年:Sashwat	  足球地带·影像馆：十大远射，哪一球更让你惊讶？	0
“开窗”一个多月，新赛季中超外援“量价齐跌”	中超骄傲！扎哈维今天荷甲再现1世界级进球：近4场狂轰3球！	0
2月22日，中超山东泰山队官宣，巴西外援莱昂纳多正式加盟。山东泰山足球俱乐部莱昂纳多正式加盟山东泰山2月22日，经与日本浦和红钻俱乐部及球员本人沟通并达成一致，巴西籍球员莱昂纳多完成转会手续，正式加盟山东泰山。目前，莱昂纳多已抵达国内，按照相关防疫要求进行隔离，隔离结束后将与球队汇合。	强援！山东泰山官方：莱昂纳多加盟球队北京时间2月22日，山东泰山队官方：莱昂纳多正式加盟山东泰山2月22日，经与日本浦和红钻俱乐部及球员本人沟通并达成一致，巴西籍球员莱昂纳多完成转会手续，正式加盟山东泰山。目前，莱昂纳多已抵达国内，按照相关防疫要求进行隔离，隔离结束后将与球队汇合。	1
台客摇滚夜因为热爱音乐，连续三年，乐队每年都会呈现一场台客摇滚夜的演出，曲目全是台湾的摇滚音乐；因为热爱生活，乐队的每一位成员都将成都视为“第二家乡”，不少在这里寻觅到爱情；因为川台两地都是家，他们寻找着两地音乐的共通之处，期待更多人了解喜欢，然后一起歌唱。	本周嘉宾电音制作人陶乐然他的成名作《盖世爱》，你肯定记得但是猜猜看吧~周日晚21:00动感101《明日之星》Echo和陶乐然带你Get奇怪新知识别忘了，节目对所有宝藏青年长期开放嘉宾招募通道！你也可以随时在上海人民广播电台、动感101微信公众号内回复“明日之星”，获取报名方式。	0